FILIAL;CODTIPOCURSO;CODPROVA;PROVA;CODAREA;CODMATERIA;AVALIADOR;SEQOBJETOAVALIADO;CODQUESTAO;QUESTAO;CODOPCAO;OPCAO;STATUS;RESPOSTA
2;12;00760;Avaliação Docente UniCatolica 2026.1;;;91756986;;;NÃO RESPONDEU;0;Não Respondeu;EM ABERTO;
2;12;00760;Avaliação Docente UniCatolica 2026.1;;;91803418;;;NÃO RESPONDEU;0;Não Respondeu;EM ABERTO;
2;12;00760;Avaliação Docente UniCatolica 2026.1;;;91805207;;;NÃO RESPONDEU;0;Não Respondeu;EM ABERTO;
2;12;00760;Avaliação Docente UniCatolica 2026.1;;;91805543;;;NÃO RESPONDEU;0;Não Respondeu;EM ABERTO;
2;12;00760;Avaliação Docente UniCatolica 2026.1;;;91817210;;;NÃO RESPONDEU;0;Não Respondeu;EM ABERTO;
2;12;00760;Avaliação Docente UniCatolica 2026.1;;;91817831;;;NÃO RESPONDEU;0;Não Respondeu;EM ABERTO;
2;12;00760;Avaliação Docente UniCatolica 2026.1;;;91817840;;;NÃO RESPONDEU;0;Não Respondeu;EM ABERTO;
2;12;00760;Avaliação Docente UniCatolica 2026.1;;;91817847;;;NÃO RESPONDEU;0;Não Respondeu;EM ABERTO;
2;12;00760;Avaliação Docente UniCatolica 2026.1;;;91818177;;;NÃO RESPONDEU;0;Não Respondeu;EM ABERTO;
2;12;00760;Avaliação Docente UniCatolica 2026.1;;;91821975;;;NÃO RESPONDEU;0;Não Respondeu;EM ABERTO;
2;12;00760;Avaliação Docente UniCatolica 2026.1;;;91822308;;;NÃO RESPONDEU;0;Não Respondeu;EM ABERTO;
2;12;00760;Avaliação Docente UniCatolica 2026.1;;;91822925;;;NÃO RESPONDEU;0;Não Respondeu;EM ABERTO;
2;12;00760;Avaliação Docente UniCatolica 2026.1;;;91823830;;;NÃO RESPONDEU;0;Não Respondeu;EM ABERTO;
2;12;00760;Avaliação Docente UniCatolica 2026.1;;;91845017;;;NÃO RESPONDEU;0;Não Respondeu;EM ABERTO;
2;12;00760;Avaliação Docente UniCatolica 2026.1;;;91845030;;;NÃO RESPONDEU;0;Não Respondeu;EM ABERTO;
